Source,Target
1792,ID88397038
3316,ID57978417
3316,ID93263090
3328,ID96777710
3328,ID73522592
3332,ID10012765
3332,ID97871415
3355,ID81773566
3355,ID27871584
3481,ID61657199
3481,ID00697276
3530,ID51750235
3530,ID38004744
3781,ID10012765
3781,ID14419708
3872,ID57978417
3872,ID06843835
4596,ID83865728
4596,ID43496770
4602,ID75451974
4602,ID02939123
4607,ID32473677
4607,ID56105620
4609,ID54595385
4609,ID24060546
4611,ID42935914
4611,ID67710576
4612,ID61657199
4612,ID03644989
4616,ID40945868
4616,ID65707442
4624,ID64598858
4624,ID85082875
4637,ID20583529
4637,ID32475830
4667,ID81773566
4667,ID46835186
4704,ID16014628
4704,ID75115575
5400,ID13927074
5400,ID89376963
5507,ID57978417
5507,ID40752397
5747,ID86364376
5747,ID83547544
5748,ID48414987
5748,ID10029297
5770,ID27267451
5770,ID59792700
5780,ID81178896
5780,ID85559719
5813,ID64598858
5813,ID13652935
5814,ID57978417
5814,ID06843835
6491,ID81773566
6491,ID78689507
6576,ID96173168
6576,ID01063746
6911,ID15877621
6911,ID02303082
6915,ID03137770
6915,ID64613550
6948,ID11929225
6948,ID76941795
6951,ID10012765
6951,ID62326681
6958,ID63547411
6958,ID57145241
6985,ID62473443
6985,ID51784486
7021,ID63547411
7021,ID54490787
7098,ID40724955
7098,ID24883407
7124,ID64598858
7124,ID68614126
7325,ID13813302
7325,ID60700229
7402,ID57978417
7402,ID06843835
7506,ID84546112
7506,ID28195392
7557,ID48414987
7557,ID59206299
7622,ID87110947
7622,ID25247161
7720,ID59307461
7720,ID09168404
7864,ID21579257
7864,ID53115408
7992,ID51750235
7992,ID69686401
8039,ID38516754
8039,ID79119597
8083,ID46599857
8083,ID64402265
8110,ID94121783
8110,ID17197186
8488,ID72336161
8488,ID19296539
8567,ID69464236
8567,ID25737671
8569,ID10766628
8569,ID20795075
8621,ID07574556
8621,ID72336161
8679,ID20583529
8679,ID58341869
8941,ID99361449
8941,ID60076403
8948,ID46082018
8948,ID42071918
8953,ID99361449
8953,ID58409319
8967,ID99361449
8967,ID66529651
8970,ID57978417
8970,ID36397652
8984,ID99361449
8984,ID58409319
8986,ID14290488
8986,ID21129189
8990,ID27702889
8990,ID24954279
9046,ID96173168
9046,ID54236939
9191,ID69464236
9191,ID57463014
9361,ID86364376
9361,ID10536097
9415,ID64870362
9415,ID19010887
9455,ID96173168
9455,ID43509633
9527,ID29922475
9527,ID36606580
9568,ID35776622
9568,ID49122742
9608,ID43240127
9608,ID69464236
9609,ID69464236
9609,ID24954279
9630,ID49305920
9630,ID23413724
9836,ID62473443
9836,ID14981418
9955,ID71202918
9955,ID87409986
10009,ID48414987
10009,ID11899895
10022,ID96173168
10022,ID72811124
10188,ID64598858
10188,ID71884725
10261,ID65259276
10261,ID84777236
10280,ID94121783
10280,ID17617861
10468,ID82491705
10468,ID91325864
10474,ID27702889
10474,ID24954279
10475,ID27702889
10475,ID24954279
10753,ID57978417
10753,ID06843835
10814,ID99361449
10814,ID22196874
10845,ID85268652
10845,ID24549921
10851,ID96173168
